year, row, col, elevation, annualDroughtIndex, seasonalDroughtIndex, annualDegreeDaySum, seasonalDegreeDaySum, minimumTemperature, AET, PET, annualPrecipitationSum
192, 2, 2, 890, 0.0190935, 0.0190935, 1386.31, 1313.36, -1.5, 53.2961, 54.1628, 110.46
193, 2, 2, 890, 0.13047, 0.13047, 1511.7, 1452.01, -3.8, 48.5556, 55.348, 99.95
194, 2, 2, 890, 0.159992, 0.186657, 1739.09, 1604.22, -1.7, 44.0528, 56.634, 147.08
195, 2, 2, 890, 0.0018696, 0.0018696, 1497.83, 1391.95, 1.2, 57.7259, 57.8169, 148.84
196, 2, 2, 890, 0.0292362, 0.0292362, 1403.93, 1298.31, -0.1, 53.7076, 55.0307, 110.51
197, 2, 2, 890, 0.240974, 0.240974, 1579.75, 1489.8, -1.5, 44.7486, 55.8188, 80.93
198, 2, 2, 890, 0.0782609, 0.0782609, 1291.52, 1248.56, -3.3, 47.0407, 52.2413, 90.83
199, 2, 2, 890, 0.107208, 0.122523, 1740.18, 1515.31, -0.2, 54.2432, 59.0941, 118.19
200, 2, 2, 890, 1.11293e-08, 1.12525e-08, 1569.65, 1422.35, -5.1, 56.6091, 56.6091, 171.41
201, 2, 2, 890, 0.0946822, 0.0946822, 1326.47, 1262.05, -2.4, 50.0522, 54.1018, 147.41
202, 2, 2, 890, 0.221688, 0.221688, 1729.23, 1658.09, -4.2, 47.1412, 57.8598, 127.13
203, 2, 2, 890, 3.29427e-09, 4.2355e-09, 1363.19, 1162.96, -1.2, 56.5628, 56.5628, 150.44
204, 2, 2, 890, 0.217804, 0.217804, 1540.34, 1479.34, -0.5, 41.9811, 54.5715, 92.14
205, 2, 2, 890, 0.0698423, 0.0698423, 1449.15, 1380.81, -3.5, 51.1918, 54.5373, 167.44
206, 2, 2, 890, 0.0192156, 0.0192156, 1312.33, 1203.6, -1, 51.7928, 52.6776, 136.04
207, 2, 2, 890, 0.302611, 0.302611, 1336.27, 1289.58, -2.5, 37.3837, 53.2001, 176.4
208, 2, 2, 890, 0.0494306, 0.0564921, 1500.99, 1301.16, -2.8, 54.5802, 56.8368, 95.8
209, 2, 2, 890, 9.69558e-09, 9.69558e-09, 1112.64, 1013.24, -4.9, 52.1823, 52.1823, 155.34
210, 2, 2, 890, 0.0271325, 0.0271325, 1152.94, 1069.83, -2.6, 51.2179, 52.3281, 140.76
211, 2, 2, 890, 7.78317e-09, 7.78317e-09, 1101.86, 1054.49, -10.7, 49.8066, 49.8066, 160.84
212, 2, 2, 890, 8.58468e-09, 1.03016e-08, 1268.59, 1115.25, -0.1, 54.4112, 54.4112, 135.08
213, 2, 2, 890, 1.79275e-08, 1.79275e-08, 1380.8, 1284.41, -2.3, 52.6495, 52.6495, 176.94
214, 2, 2, 890, 0.183788, 0.183788, 1546.37, 1381.33, -1.1, 50.5881, 57.8684, 108.87
215, 2, 2, 890, 1.58786e-08, 1.58786e-08, 1191.4, 1104.25, -1.4, 53.1205, 53.1205, 176.29
216, 2, 2, 890, 1.27144e-08, 1.27144e-08, 1468.2, 1320.49, -0.5, 56.223, 56.223, 192.85
217, 2, 2, 890, 0.121375, 0.121375, 1143.21, 1107.74, -2.8, 44.3251, 49.4529, 141.27
218, 2, 2, 890, 0.0272149, 0.0272149, 1276.77, 1188.89, -6.5, 51.5265, 53.1181, 153.56
219, 2, 2, 890, 0.161939, 0.161939, 1431.3, 1346.26, -0.2, 46.8816, 54.3885, 119.56
220, 2, 2, 890, 1.03356e-08, 1.03356e-08, 1120.99, 1072.51, -5, 50.2548, 50.2548, 222.96
221, 2, 2, 890, 4.1083e-09, 4.1083e-09, 1307.53, 1233.84, -2.3, 52.7049, 52.7049, 188.67
222, 2, 2, 890, 0.104821, 0.104821, 1352.2, 1250.85, -2, 48.4008, 53.2595, 152.09
223, 2, 2, 890, 0.0172031, 0.0172031, 1223.2, 1142.63, -1.9, 51.5788, 52.4573, 182.21
224, 2, 2, 890, 0.148208, 0.148208, 1343.77, 1289.33, -3.8, 47.0225, 52.9056, 156.74
225, 2, 2, 890, 2.89478e-09, 2.89478e-09, 1281.66, 1195.36, -2.7, 50.8006, 50.8006, 210.52
226, 2, 2, 890, 0.163963, 0.163963, 1445.12, 1351.74, -2.9, 47.4518, 54.8868, 105.74
227, 2, 2, 890, 0.0789062, 0.0789062, 1134.12, 975.377, 0, 51.9945, 54.1622, 119.72
228, 2, 2, 890, 0.0678263, 0.0678263, 1340.61, 1276.77, -2.3, 48.2627, 51.3343, 162.61
