decade, abiealba, piceabie, fagusilv, pinusilv, querpetr, elevation, area
1, 0.377199, 18.3195, 10.8872, 14.6872, 5.97462, 922, 0.8125
1, 0.434312, 15.086, 11.8488, 17.4111, 6.34082, 923, 0.875
1, 0.391368, 14.3426, 13.2522, 18.2725, 6.72933, 924, 1.0625
1, 0, 17.2414, 11.4494, 21.3961, 4.56283, 925, 1.0625
1, 0.334842, 15.9356, 11.3541, 17.2713, 5.62673, 926, 1.25
1, 0.258751, 16.1098, 12.2622, 16.9889, 6.18186, 927, 1.5
1, 0.495514, 14.2876, 11.1334, 21.0967, 5.22307, 928, 1.625
1, 0.327892, 13.6701, 11.7356, 19.7969, 6.12517, 929, 1.625
1, 0.355431, 16.229, 12.5807, 18.0205, 6.96421, 930, 1.5625
1, 0.213177, 14.1316, 12.8814, 19.2831, 5.65645, 931, 1.75
1, 0.260486, 14.2855, 13.9291, 15.4914, 6.45935, 932, 1.625
1, 0.363012, 14.3948, 11.9424, 20.7466, 5.61578, 933, 1.625
1, 0.228759, 14.7825, 13.4039, 17.6568, 6.91903, 934, 1.5625
1, 0.202895, 16.5613, 11.6818, 16.8053, 4.84405, 935, 1.625
1, 0.116519, 16.625, 15.0365, 17.684, 3.70295, 936, 1.3125
1, 0.0264675, 17.1782, 13.2065, 16.2859, 5.2535, 937, 1.6875
1, 0.0873598, 17.003, 11.6758, 16.1297, 6.87287, 938, 1.5
1, 0.259083, 16.2466, 12.0905, 16.2749, 5.32938, 939, 1.5
1, 0.579532, 15.4152, 11.1098, 14.6504, 5.63967, 940, 1.375
1, 0.217713, 14.6007, 14.1613, 18.3761, 5.92599, 941, 0.875
1, 0.349189, 15.3734, 11.3004, 15.9016, 7.62955, 942, 0.375
2, 0, 17.6708, 28.2658, 21.3584, 16.2854, 811, 0.0625
2, 0, 15.1308, 29.2524, 23.0571, 26.7022, 813, 0.0625
2, 0, 11.9662, 31.5729, 28.2431, 20.6401, 814, 0.0625
2, 0, 16.9181, 32.4045, 23.5514, 9.80341, 815, 0.0625
2, 3.71749, 16.7727, 25.1839, 26.8931, 13.9335, 816, 0.125
